527,4,High,Middle,Low
0,0,67,5,2
46,4,67,9,1
35,2,58,7,1
33,3,53,8,1
4,1,80,12,2
0,0,25,10,1
102,5,143,10,2
17,2,46,5,0
22,1,51,6,0
1,1,1,1,2
0,0,127,6,2
10,2,36,5,0
18,2,33,5,0
45,3,52,5,0
20,1,38,5,2
28,2,66,5,0
26,3,55,5,0
56,2,83,5,1
46,3,63,6,2
29,2,30,3,1
30,5,59,25,1
57,2,64,5,1
31,7,49,10,1
43,5,46,8,2
20,6,21,7,2
1,1,46,4,2
41,4,42,5,0
20,3,34,5,1
1,1,46,4,2
10,2,10,2,2
24,2,70,6,1
20,2,66,8,1
2,2,3,3,0
15,3,68,7,1
18,1,58,5,0
3,1,91,4,2
22,1,72,3,1
2,1,3,2,2
13,2,77,7,1
6,1,66,5,1
22,3,69,7,2
27,1,75,3,1
16,3,42,7,1
18,1,71,4,1
8,1,51,6,1
3,2,7,4,1
30,9,39,15,1
8,2,62,11,1
38,5,98,16,2
10,4,47,10,1
26,2,47,3,0
25,1,59,2,0
4,2,4,2,0
12,1,32,2,0
0,0,12,8,2
0,0,0,0,0
0,0,0,0,1
4,3,5,4,0
6,3,12,7,1
10,3,62,8,0
27,2,55,4,0
44,4,102,9,2
38,6,62,9,0
24,2,93,5,2
11,2,31,4,0
19,2,36,4,0
22,3,46,6,0
18,1,102,11,2
41,2,64,3,0
24,2,40,4,0
32,5,51,8,0
43,1,43,1,0
42,6,70,8,1
32,6,70,9,1
13,3,39,5,0
24,5,48,6,0
19,4,42,7,0
14,2,35,4,0
30,6,35,7,0
17,2,27,3,0
10,1,17,2,2
23,4,53,6,0
24,3,53,8,0
22,3,48,5,0
29,2,76,6,1
39,4,75,10,1
41,3,69,6,0
42,3,60,5,0
31,4,57,6,0
31,2,94,4,2
47,2,64,4,0
51,4,66,7,0
71,3,89,6,2
55,3,75,5,1
18,3,94,7,2
53,2,67,4,0
66,3,80,4,1
37,3,56,5,0
47,2,61,4,0
9,5,74,16,2
25,5,72,11,1
35,3,54,6,2
38,4,72,7,1
0,0,40,6,1
18,1,75,12,2
45,3,71,6,1
