EyeTotalDuration_TOR_FrontOnly,EyeCount_TOR_FrontOnly,EyeTotalDuration_TOR,EyeCount_TOR,class_tf,fileIDs
0,0,134,10,2,S01_01_Movie_CANData
104,9,147,20,1,S01_01_NoNDRT_CANData
70,4,136,15,1,S01_01_conversation_CANData
66,6,119,17,1,S01_01_drink_CANData
8,2,180,25,2,S01_01_texting_CANData
0,0,50,20,1,S01_02_Movie_CANData
223,10,305,20,2,S01_02_NoNDRT_CANData
41,5,105,14,0,S01_02_conversation_CANData
44,2,102,12,0,S01_02_drink_CANData
2,2,2,2,2,S01_02_texting_CANData
0,0,254,12,2,S01_03_Movie_CANData
20,4,92,10,0,S01_03_NoNDRT_CANData
40,6,71,12,0,S01_03_conversation_CANData
96,6,110,10,0,S01_03_drink_CANData
40,2,78,12,2,S01_03_texting_CANData
56,4,152,10,0,S02_01_Movie_CANData
56,6,130,11,0,S02_01_NoNDRT_CANData
113,4,172,13,1,S02_01_conversation_CANData
112,6,146,12,2,S02_01_drink_CANData
58,4,64,10,1,S02_01_texting_CANData
60,10,126,55,1,S02_02_Movie_CANData
116,5,145,13,1,S02_02_NoNDRT_CANData
65,16,115,23,1,S02_02_conversation_CANData
102,10,109,17,2,S02_02_drink_CANData
40,12,42,14,2,S02_02_texting_CANData
2,2,99,9,2,S02_03_Movie_CANData
102,8,104,10,0,S02_03_NoNDRT_CANData
60,7,88,11,1,S02_03_conversation_CANData
2,2,99,9,2,S02_03_drink_CANData
24,7,28,11,2,S02_03_texting_CANData
55,5,160,14,1,S03_01_Movie_CANData
40,4,152,16,1,S03_01_NoNDRT_CANData
4,4,7,7,0,S03_01_conversation_CANData
30,6,136,14,1,S03_01_drink_CANData
36,2,127,11,0,S03_01_texting_CANData
6,2,202,8,2,S03_02_Movie_CANData
47,4,147,8,1,S03_02_NoNDRT_CANData
4,2,6,4,2,S03_02_conversation_CANData
31,5,171,16,1,S03_02_drink_CANData
12,2,137,11,1,S03_02_texting_CANData
44,6,138,14,2,S03_03_Movie_CANData
59,3,170,7,1,S03_03_NoNDRT_CANData
32,6,86,15,1,S03_03_conversation_CANData
36,2,146,12,1,S03_03_drink_CANData
16,2,102,12,1,S03_03_texting_CANData
6,4,15,9,1,S04_01_Movie_CANData
63,19,94,35,1,S04_01_NoNDRT_CANData
16,4,129,22,1,S04_01_drink_CANData
76,10,202,33,2,S04_01_texting_CANData
30,9,113,21,1,S04_02_Movie_CANData
59,5,113,8,0,S04_02_NoNDRT_CANData
58,3,137,7,0,S04_02_conversation_CANData
8,4,8,4,0,S04_02_drink_CANData
24,2,64,4,0,S04_02_texting_CANData
10,1,38,19,2,S04_03_Movie_CANData
0,0,0,0,0,S04_03_NoNDRT_CANData
0,0,1,1,1,S04_03_conversation_CANData
8,6,21,9,0,S04_03_drink_CANData
20,7,40,16,1,S04_03_texting_CANData
20,6,144,16,0,S05_01_Movie_CANData
72,4,130,9,0,S05_01_NoNDRT_CANData
101,8,221,19,2,S05_01_drink_CANData
77,13,125,19,0,S05_01_texting_CANData
48,4,206,10,2,S05_02_Movie_CANData
39,5,79,9,0,S05_02_conversation_CANData
45,4,88,9,0,S05_02_drink_CANData
44,6,92,12,0,S05_02_texting_CANData
36,2,217,26,2,S05_03_Movie_CANData
91,4,143,10,0,S05_03_NoNDRT_CANData
58,5,100,10,0,S05_03_conversation_CANData
73,10,116,19,0,S05_03_drink_CANData
86,2,86,2,0,S05_03_texting_CANData
84,12,143,19,1,S06_01_Movie_CANData
64,12,160,18,1,S06_01_NoNDRT_CANData
29,7,90,13,0,S06_01_conversation_CANData
48,10,96,12,0,S06_01_drink_CANData
38,8,88,15,0,S06_02_Movie_CANData
29,5,71,9,0,S06_02_conversation_CANData
